ticker,composite,technical,fundamental,sentiment,analysis_time
LFAR,9.704555457069091,0.7045554570690911,9.0,0.0,2025-02-14T17:55:33.804037
FLHY,9.687755155542831,0.6877551555428305,9.0,0.0,2025-02-14T17:38:54.630164
NJAN,9.65642389143913,0.6564238914391304,9.0,0.0,2025-02-14T18:01:45.317711
ZECP,9.586857437124001,0.5868574371240008,9.0,0.0,2025-02-14T18:27:40.792705
TRSY,9.586721032061291,2.086721032061292,8.5,-1.0,2025-02-14T18:19:18.676372
EQLT,9.54315284683971,1.5431528468397098,8.0,0.0,2025-02-14T17:33:53.655760
BUFF,9.542942307368389,0.5429423073683892,9.0,0.0,2025-02-14T17:26:55.707924
SNOV,9.493435015481445,-0.5065649845185547,10.0,0.0,2025-02-14T18:16:20.629421
VNM,9.481025140619513,-0.5189748593804865,10.0,0.0,2025-02-14T18:22:49.599339
PJUN,9.458593995496567,0.45859399549656815,6.0,3.0,2025-02-14T18:07:53.003543
BBCA,9.409286825833169,1.4092868258331692,8.0,0.0,2025-02-14T17:23:40.483007
SPCZ,9.366209040221502,3.366209040221503,6.0,0.0,2025-02-14T18:16:32.804635
BGLD,9.303619544533287,3.303619544533287,6.0,0.0,2025-02-14T17:24:48.537658
FYEE,9.284449671879875,0.2844496718798752,7.0,2.0,2025-02-14T17:40:28.189675
STOT,9.275842031025565,2.2758420310255647,7.0,0.0,2025-02-14T18:17:00.599734
FOCT,9.211142522270256,0.21114252227025646,9.0,0.0,2025-02-14T17:40:03.256369
XSHD,9.20142325093175,0.20142325093174981,9.0,0.0,2025-02-14T18:26:42.275945
XIJN,9.173761520373782,2.1737615203737817,7.0,0.0,2025-02-14T18:25:34.019728
XEMD,9.160340710702307,1.160340710702308,8.0,0.0,2025-02-14T18:25:40.357928
PBL,9.15384747524969,0.15384747524968956,7.0,2.0,2025-02-14T18:06:30.139733
EMTL,9.07591883161323,3.0759188316132295,6.0,0.0,2025-02-14T17:33:49.918603
DRAG,9.026173789937067,2.0261737899370673,7.0,0.0,2025-02-14T17:31:16.351805
SPIN,9.0,0.0,0.0,9.0,2025-02-14T18:17:21.460939
OVT,8.87483905879368,0.8748390587936804,10.0,-2.0,2025-02-14T18:05:29.609850
VUSB,8.874708695770101,2.8747086957701016,6.0,0.0,2025-02-14T18:23:01.119119
RVRB,8.873211791468002,0.3732117914680025,7.0,1.5,2025-02-14T18:14:02.431742
LIAB,8.855378824843854,0.8553788248438543,6.0,2.0,2025-02-14T17:56:00.044646
QIG,8.826320505307415,0.8263205053074145,8.0,0.0,2025-02-14T18:10:48.204587
ROIS,8.824864293560136,1.8248642935601367,7.0,0.0,2025-02-14T18:12:54.005361
QTJA,8.811087134413889,0.8110871344138894,8.0,0.0,2025-02-14T18:11:43.686998
OCTH,8.796679496286954,0.7966794962869536,8.0,0.0,2025-02-14T18:04:07.887108
FFOG,8.767581552698067,-0.23241844730193292,9.0,0.0,2025-02-14T17:37:56.308353
RULE,8.76193924736843,-0.23806075263157,9.0,0.0,2025-02-14T18:13:49.775648
FBCV,8.732876508471161,-0.2671234915288381,9.0,0.0,2025-02-14T17:35:59.706920
XDJL,8.707798880357396,0.5077988803573973,8.2,0.0,2025-02-14T18:24:40.110506
MDLV,8.682686426466455,1.6826864264664556,7.0,0.0,2025-02-14T17:59:07.291237
PTEU,8.66182151442013,1.6618215144201287,7.0,0.0,2025-02-14T18:09:30.188030
YDEC,8.653303655952062,1.6533036559520626,7.0,0.0,2025-02-14T18:27:13.459396
DFND,8.652918208653574,-0.3470817913464252,9.0,0.0,2025-02-14T17:29:50.977076
XVOL,8.641435175012557,0.6414351750125576,8.0,0.0,2025-02-14T18:26:53.384238
LFAN,8.631487000538772,0.6314870005387717,8.0,0.0,2025-02-14T17:55:09.689512
UMAY,8.6279856096481,0.6279856096481006,8.0,0.0,2025-02-14T18:20:27.478894
ACWV,8.627005203238623,2.6270052032386233,6.0,0.0,2025-02-14T17:19:37.941427
PSFF,8.626819329482629,0.626819329482629,8.0,0.0,2025-02-14T18:08:57.319500
NULV,8.617966516502962,0.6179665165029619,8.0,0.0,2025-02-14T18:02:48.138249
FDND,8.573555563276672,1.5735555632766718,7.0,0.0,2025-02-14T17:37:02.583765
MAMB,8.571493076756365,1.571493076756365,7.0,0.0,2025-02-14T17:58:03.343946
TDV,8.54308127331997,0.5430812733199701,8.0,0.0,2025-02-14T18:17:38.066216
NANC,8.527483825978129,0.527483825978129,6.0,2.0,2025-02-14T18:01:17.943924
BBJP,8.482076419573689,0.48207641957368846,8.0,0.0,2025-02-14T17:24:40.337045
EUAD,8.481020750936947,1.4810207509369469,7.0,0.0,2025-02-14T17:35:07.353831
POCT,8.473401007561371,0.47340100756137105,8.0,0.0,2025-02-14T18:08:05.468603
NDEC,8.470903446029372,0.47090344602937223,8.0,0.0,2025-02-14T18:01:37.358161
BUFD,8.46384016166278,0.463840161662781,8.0,0.0,2025-02-14T17:26:56.025641
QDTE,8.462885280347221,0.46288528034722065,8.0,0.0,2025-02-14T18:10:25.715518
PBNV,8.461612313822362,0.46161231382236206,10.0,-2.0,2025-02-14T18:06:48.966631
BUFR,8.461087034401427,0.4610870344014259,8.0,0.0,2025-02-14T17:27:09.734576
STBF,8.433671468616426,1.9336714686164265,6.5,0.0,2025-02-14T18:17:07.030012
MBND,8.433307813823077,1.4333078138230781,7.0,0.0,2025-02-14T17:58:59.880840
BUFT,8.416846934393527,1.416846934393527,7.0,0.0,2025-02-14T17:27:17.205393
XNOV,8.414432220135609,0.4144322201356097,8.0,0.0,2025-02-14T18:26:21.204222
NUEM,8.407204983834884,1.4072049838348846,7.0,0.0,2025-02-14T18:02:44.287683
XOCT,8.389499077866324,0.3894990778663235,8.0,0.0,2025-02-14T18:26:28.336179
CORX,8.3846970703561,0.38469707035610057,8.0,0.0,2025-02-14T17:28:37.925917
BEMB,8.373781713946975,1.3737817139469761,7.0,0.0,2025-02-14T17:24:45.196309
MSTQ,8.354083501503686,0.3540835015036862,8.0,0.0,2025-02-14T18:00:22.631550
UOCT,8.337819162808389,0.337819162808389,6.0,2.0,2025-02-14T18:20:49.424324
DECP,8.31792347249057,0.31792347249056974,6.0,2.0,2025-02-14T17:29:48.830494
TDEC,8.3142582784162,1.3142582784161987,7.0,0.0,2025-02-14T18:17:41.031297
DWCR,8.282762557309288,1.282762557309288,7.0,0.0,2025-02-14T17:32:16.827881
DRSK,8.275764364642878,1.275764364642879,7.0,0.0,2025-02-14T17:31:12.135054
TSLZ,8.233044208581877,1.2330442085818758,7.0,0.0,2025-02-14T18:19:44.402877
FJAN,8.211428320654878,0.2114283206548791,8.0,0.0,2025-02-14T17:38:44.291429
TMFX,8.210193049087755,0.21019304908775496,8.0,0.0,2025-02-14T18:19:09.097039
SHEH,8.205645894434776,1.2056458944347752,7.0,0.0,2025-02-14T18:15:18.564693
ARKX,8.198154600730177,-0.8018453992698227,9.0,0.0,2025-02-14T17:21:47.675524
XMPT,8.195425537658283,1.1954255376582823,7.0,0.0,2025-02-14T18:26:15.389734
BWTG,8.133123523215675,1.1331235232156742,7.0,0.0,2025-02-14T17:27:51.334965
FLBL,8.10503298768552,0.10503298768552084,8.0,0.0,2025-02-14T17:38:49.572981
VWID,8.101798192127205,2.101798192127205,6.0,0.0,2025-02-14T18:23:02.129027
SATO,8.095192640272112,-1.9048073597278878,10.0,0.0,2025-02-14T18:13:54.519479
AAPR,8.052078935000027,0.05207893500002711,8.0,0.0,2025-02-14T17:19:09.128761
LFAQ,8.051417682084626,1.0514176820846266,7.0,0.0,2025-02-14T17:55:23.680073
LOCT,8.04903924203011,1.0490392420301107,7.0,0.0,2025-02-14T17:57:40.896408
TYLD,8.033069263839042,2.0330692638390424,6.0,0.0,2025-02-14T18:19:46.965145
ABLG,8.014404809687868,2.0144048096878677,6.0,0.0,2025-02-14T17:19:21.644312
FFGX,8.008887947775401,1.0088879477754005,7.0,0.0,2025-02-14T17:37:40.240373
ABFL,8.008210803917757,2.008210803917757,6.0,0.0,2025-02-14T17:19:29.810099
XUSP,7.992981662126034,-0.007018337873965663,8.0,0.0,2025-02-14T18:26:51.437645
RODE,7.970595289082895,1.9705952890828946,6.0,0.0,2025-02-14T18:12:53.534903
BAMU,7.953920487218036,0.9539204872180356,7.0,0.0,2025-02-14T17:23:28.785298
LIAQ,7.9441590629934655,0.9441590629934652,7.0,0.0,2025-02-14T17:56:55.728980
NURE,7.9297346780445395,0.9297346780445395,7.0,0.0,2025-02-14T18:03:08.028464
QMMY,7.926398069254527,0.9263980692545275,7.0,0.0,2025-02-14T18:11:24.385348
BBIN,7.91928931165134,1.9192893116513403,6.0,0.0,2025-02-14T17:23:49.013092
LIAJ,7.8982414778882415,0.8982414778882415,7.0,0.0,2025-02-14T17:56:33.839594
RDTE,7.895855387457851,-0.10414461254214942,8.0,0.0,2025-02-14T18:12:27.900391
TMFG,7.8775108533818585,0.877510853381859,7.0,0.0,2025-02-14T18:18:43.021873
BMAY,7.858001522886702,0.8580015228867018,7.0,0.0,2025-02-14T17:25:48.676418
LJUL,7.804284738270516,1.804284738270516,6.0,0.0,2025-02-14T17:57:31.006821
OCTQ,7.796132168360842,0.7961321683608418,7.0,0.0,2025-02-14T18:04:09.147427
